content,label
"transaksi saya gagal tapi uang belum dikembalikan, padahal udah tiga hari lebih 😠",0
"barang bagus banget, pengiriman super cepat, dan pelayanannya luar biasa memuaskan",1
"semua pesanan saya selalu dikirim tepat waktu, makasih Tokopedia udah bikin belanja jadi gampang",1
"aplikasinya berat banget di HP saya, padahal sudah update versi terbaru",0
"barang yang saya pesan dikirim cepat dan kualitasnya jauh di atas ekspektasi, mantap!",1
"Prosesnya cepet, adminnya juga responsif. Barang aman",1
"Top up voucher game berhasil, cepat, dan murah. Thank you",1
saya kecewa karena ongkir tiba-tiba mahal banget padahal jarak pengiriman masih satu kota,0
"pembayaran via transfer bank kadang error, harus coba beberapa kali baru bisa sukses 😔",0
Selalu langganan di sini. Gak pernah kecewa,1
Adminnya judes. Ditanya baik-baik jawabnya singkat. KAPOK,0
Keren! Barangnya berfungsi dengan baik. Semoga awet.,1
"produk datang dengan kemasan super aman, dikasih bonus kecil juga dari seller, seneng banget",1
"kurir mengantarkan barang ke alamat yang salah padahal sudah jelas di aplikasi, sangat mengecewakan",0
aplikasi user-friendly dan mudah digunakan bahkan untuk orang tua saya yang baru belajar belanja online,1
Sudah 3 hari chat gak dibales. Padahal barangnya butuh cepet,0
Gak ngefek apa-apa. Udah abis sebotol padahal.,0
Voucher diskonnya beneran bisa dipake. Hemat banyak.,1
"Awalnya sempet ragu beli barang elektronik online, tapi toko ini amanah banget. Packingnya super tebel berlapis-lapis, pake palet kayu. Barangnya nyampe tanpa lecet sedikitpun dan berfungsi normal.",1
"Saya pesen 2 barang, tapi yang dateng cuma 1. Saya udah chat baik-baik, katanya mau dikirim sisanya, tapi udah seminggu lebih gak ada kabar. Ditagih lagi, alesan mulu. Niat jualan gak sih?",0
Barang sudah diterima dengan baik dan lengkap. Sesuai pesanan. Terima kasih seller dan kurir yang udah anter malem-malem,1
"Pesanan saya udah bayar tapi tiba-tiba dibatalkan, kecewa banget ",0
Tokopedia Selalu Jadi Pilihan Favorit Saya Untuk Belanja Online Karena Praktis Dan Aman.,1
"pesanan saya rusak tapi seller malah minta bukti berulang-ulang tanpa solusi, kesel banget 😡",0
"voucher cashback ga bisa dipakai, padahal udah diaktifin, bikin kecewa""",0
"aplikasinya lemot banget padahal koneksi internet lancar, mohon diperbaiki",0
"transaksi saya gagal dua kali padahal saldo masih cukup, agak bikin kesal sih 😤",0
"Tolong ya adminnya diajarin sopan santun. Saya nanya baik-baik status barang saya kok belum diproses, jawabnya malah nyolot dan pake tanda seru. Padahal udah lewat estimasi. Barang murah tapi kalo pelayanan kayak gini sih gak lagi deh.",0
"Lama banget sampenya. Udah gitu packingnya parah, cuma plastik tipis. Kardus produknya jadi penyok parah. Gak niat jualan.",0
"Bagus banget bahannya, tebel tapi adem. Gak nyangka harga segini dapet kualitas oke. Mantap pokoknya.",1
Barang sesuai pesanan. Pengiriman cepat. Makasih,1
"Awalnya ragu, tapi pas barangnya dateng puas banget. Sesuai foto, berfungsi dengan baik, dan pengiriman juga cepet. Adminnya juga ramah. Bakal beli lagi di sini.",1
"fitur tokopedia makin keren aja, sekarang checkout jadi lebih gampang",1
Mantul (Mantap Betul). Barang orisinil. Pengiriman kilat.,1
"Saya pesen pake sameday, katanya langsung kirim. Tapi ini baru dikirim besoknya. Kalo tau gini mending pake reguler. Udah gitu barangnya penyok dikit. Kecewa.",0
"Barangnya bagus, dapet harga flash sale pula. Murah tapi gak murahan. Makasih banyak seller.",1
ongkirnya mahal banget akhir-akhir ini padahal jaraknya masih deket,0
"jarang ada diskon sekarang, mendingan platform sebelah lebih banyak dan produk lengkap",0
"banyak barang murah dan harga sesuai dengan yang tertera, tidak dilebih-lebihkan",1
udah dua kali belanja di toko yang sama tapi kali ini kecewa karena barangnya cacat,0
"fitur pencarian kadang error, udah diketik bener tapi hasilnya ga muncul semua",0
"tokopedia GOOD!, semoga sukses teruss dan semakin banyak gratis ongkir dan diskon yang diberikan!",1
